Lagerkürzel;Auftragsnummer;LS-Nr.;geprüft j/n;Lieferdatum;Bearbeiter;Kundennummer;Kundenkürzel;L.-Name 1;L.-Straße;L.-PLZ;L.-Ort;;;;
Emons;19016;19004;ja;16.03.2020;Herr Kühn;20354;SC Aquador SRL;SC Aquador SRL;Str. X Nr. 27;557085;Cristian; jud.Sibiu;;;
Planegg;19019;19005;ja;16.03.2020;Herr Irrgang;20354;SC Aquador SRL;SC Aquador SRL;Str. X Nr. 27;557085;Cristian; jud.Sibiu;;;
Planegg;;19006;ja;16.03.2020;Herr Irrgang;20315;Peter Goetz GmbH;Peter Goetz GmbH;Grünaustraße 5;30455;Hannover;;;;
Planegg;;19007;ja;16.03.2020;Herr Irrgang;20299;GWA GmbH;GWA GmbH;Hohendodeleber Str. 8;39110;Magdeburg;;;;
Emons;19027;19008;ja;16.03.2020;Herr Irrgang;20299;GWA;GWA GmbH;Hohendodeleber Str. 8;39110;Magdeburg;;;;
Planegg;19028;19009;ja;16.03.2020;Herr Irrgang;10034;ewatec;ewatec –  Ihr Partner für Wasser und Kaffee;Am Werkhaus 18;87480;Weitnau;;;;
Avaless BM;;19010;ja;16.03.2020;Herr Irrgang;20802;Notstromtechnik-Clasen Gm;Notstromtechnik-Clasen GmbH;Kurt-Fischer-Str. 39;22926;Ahrensburg;;;;
Planegg;;19011;ja;16.03.2020;Herr Irrgang;20927;Gölz;Stefan Gölz;Niederwiesenstr. 29;71159;Mötzingen;;;;
Planegg;;19012;ja;16.03.2020;Herr Irrgang;20928;Fauris;Sébastien Fauris;13; rue du colonel Fabien;92160;Antony;;;
Planegg;19045;19013;ja;16.03.2020;Herr Irrgang;20929;Koehlen;Florian Koehlen;Seefelderstr 88;82211;Herrsching a. Ammersee;;;;
Planegg;19054;19014;ja;16.03.2020;Herr Irrgang;20930;Jung-Gercke;Holger Jung-Gercke;Römerstr. 17;41564;Kaarst;;;;
Planegg;19064;19016;ja;16.03.2020;Herr Irrgang;20567;Kaffeemaschinenvertrieb u;Kaffeemaschinenvertrieb und Service;Alt Prester 84;39114;Magdeburg;;;;
