Lagerkürzel;Auftragsnummer;LS-Nr.;geprüft j/n;Lieferdatum;Bearbeiter;Kundennummer;Kundenkürzel;L.-Name 1;L.-Straße;L.-PLZ;L.-Ort;;;;
Hess;94710;LS64104;ja;13.03.2026;Petra Gräf;26457;Köster Möbelwerkstätten GmbH &;Köster Möbelwerkstätten GmbH & Co.KG;Boschstraße 20;48341;Altenberge;;;;
Berlin Wein König;101018;LS67985;nein;01.01.2026;Logistik;20452;Luisenstift Berlin;Luisenstift Berlin;Lindenthaler Allee 15;14163;Berlin;;;;
Ewatec;101022;LS67989;ja;01.01.2026;Logistik;20255;rebike 1 GmbH;Rebike Mobility GmbH;Zeppelinstr. 3  / Einfahrt 6;87437;Kempten;;;;
Ewatec;101084;LS68051;ja;01.01.2026;Logistik;20255;rebike 1 GmbH;Rebike Mobility GmbH;Zeppelinstr. 3  / Einfahrt 6;87437;Kempten;;;;
VST Schörling;101169;LS68136;ja;13.01.2026;Logistik;23992;Dt.Unternehmensnachfolge;Philemon Nachfolgeinvest GmbH;Am Lilienberg 2;81669;München;;;;
Ewatec;101171;LS68138;ja;01.01.2026;Logistik;20255;rebike 1 GmbH;Rebike Mobility GmbH;Zeppelinstr. 3  / Einfahrt 6;87437;Kempten;;;;
Planegg;101204;LS68172;nein;01.01.2026;Logistik;24586;AFS Aviation Fuel Services Gmb;AFS Aviation Fuel Services GmbH;Nordallee 52;85356;München  (Flughafen);;;;
natürlich H2O;101222;LS68190;nein;01.01.2026;Logistik;24613;Weckstein Pflegedienst Elixier;Weckstein Pflegedienst Elixier OHG;Gasteiner Str. 29;10717;Berlin;;;;
Planegg;101273;LS68240;nein;07.01.2026;Logistik;25758;Hausarztzentrum Egenburg;Hausarztzentrum Egenburg;Hauptstraße 50;85235;Egenburg;;;;
Gänshirt-Aufmbruch;101424;LS68387;nein;01.01.2026;Mihaela Abmayr;25572;Münchener Assekuranz Vermittl.;Münchener Assekuranz Vermittlungs GmbH;Willy-Brandt-Platz 3;46045;Oberhausen;;;;
Gänshirt-Aufmbruch;;LS68967;nein;01.01.2026;Petra Gräf;25967;Wasserverband Eifel-Rur;Wasserverband Eifel-Rur;Eisenbahnstraße 5;52353;Düren;;;;
AMW Auersperg;103484;LS69442;ja;09.01.2026;Logistik;20742;Graal Müritz;Balticum OpCo Graal GmbH;Waldstr.1;18181;Ostseebad Graal-Müritz;;;;
Strecke;103491;LS69449;ja;01.04.2026;Logistik;20604;KI group GmbH;KI group GmbH;Mittelstr. 12-14;50672;Köln;;;;
Strecke;103492;LS69450;ja;01.04.2026;Logistik;20604;KI group GmbH;KI group GmbH;Mittelstr. 12-14;50672;Köln;;;;
Brengartner Trinkwass;103635;LS69593;ja;09.03.2026;Logistik;24661;Marco GmbH & Co. KG;Marco GmbH & Co. KG;Riegeler Straße 1;79364;Malterdingen;;;;
Brengartner Trinkwass;103636;LS69594;ja;09.03.2026;Logistik;24661;Marco GmbH & Co. KG;Marco GmbH & Co. KG;Riegeler Straße 1;79364;Malterdingen;;;;
Berlin Wein König;103658;LS69616;nein;01.01.2026;Logistik;21352;Setting;Setting HQ GmbH;Rosenthaler Str. 42;10178;Berlin;;;;
Brengartner Trinkwass;103662;LS69621;ja;16.03.2026;Logistik;25185;Medizinischer Dienst Baden-Wür;Medizinischer Dienst Baden-Württemb;Marlener Str. 6;77656;Offenburg;;;;
Bastian;103697;LS69656;nein;01.01.2026;Logistik;25227;Visio Klinik;Visio Klinik GmbH;Weißenregener Str. 1-5;93444;Bad Kötzting;;;;
Bastian;103700;LS69659;nein;01.01.2026;Logistik;25227;Visio Klinik;Visio Klinik GmbH;Weißenregener Str. 1-5;93444;Bad Kötzting;;;;
Bastian;103709;LS69668;nein;01.01.2026;Logistik;25227;Visio Klinik;Visio Klinik GmbH;Weißenregener Str. 1-5;93444;Bad Kötzting;;;;
Schöttle - Haiterbach;103754;LS69713;ja;05.01.2026;Logistik;25750;Stadt Winnenden;Feuerwehr Winnenden;Mühltorstr. 50;71364;Winnenden;;;;
Ewatec;103765;LS69723;ja;29.03.2026;Logistik;26340;Agentur für Arbeit Lindau;Agentur für Arbeit Lindau;Hundweilerstr. 1;88131;Lindau;;;;
AMW Auersperg;103771;LS69729;nein;03.02.2026;Logistik;26168;smartvillage B-Neukölln;smartvillage B Neukölln GmbH;Karl-Marx- Str. 101;12043;Berlin;;;;
AMW Auersperg;103772;LS69730;nein;01.02.2026;Logistik;26168;smartvillage B-Neukölln;smartvillage B Neukölln GmbH;Karl-Marx- Str. 101;12043;Berlin;;;;
AMW Auersperg;103773;LS69731;nein;03.02.2026;Logistik;26168;smartvillage B-Neukölln;smartvillage B Neukölln GmbH;Karl-Marx- Str. 101;12043;Berlin;;;;
AMW Auersperg;103774;LS69732;nein;03.02.2026;Logistik;26168;smartvillage B-Neukölln;smartvillage B Neukölln GmbH;Karl-Marx- Str. 101;12043;Berlin;;;;
GWA;103781;LS69739;nein;01.01.2026;Logistik;26336;ARGE Ingenieurgesellschaft;InGe BM SuedOstLink A1 (1.OG);Große Diesdorfer Str. 228;39108;Magdeburg;;;;
natürlich H2O;103786;LS69744;nein;01.01.2026;Logistik;26388;Andriessens Praxis psych.Gesun;Praxis für psych. Gesundheit am Sav;Ärztehaus  Carmerstr. 7  /  4.OG;10623;Berlin;;;;
Berlin Wein König;;LS70204;nein;01.01.2026;Sönke Rocho;21144;Knotel;Knotel Berlin I GmbH;Stralauer Allee 2b;10245;Berlin;;;;
VST Schörling;105748;LS70589;ja;31.01.2026;Florian Gräf;24737;Sasse FM;Lufthansa Lounges;Terminalstraße Mitte Nr. 28 / Anlieferhof;85356;München;;;;
AMW Auersperg;105791;LS70639;ja;08.01.2026;Florian Gräf;23338;Le Gastro;Deutsche Post AG;Ahornring 6;18184;Roggentin;;;;
Attila AS;105895;LS70756;nein;01.01.2026;Sönke Rocho;24026;Heamalab vorm.OnkoMedeor;Haemalab - Onkologisches Zentrum Freising MVZ;Weizengasse 2;85354;Freising;;;;
VST Schörling;105941;LS70810;ja;08.01.2026;Logistik;20221;Abschnitt West;Abschnitt West;Romanstraße 13;80639;München;;;;
VST Schörling;105943;LS70812;ja;13.01.2026;Logistik;20325;SYNBRAND (vorm.Synektar);SYNBRAND GmbH;Nordendstrasse 64;80801;München;;;;
VST Schörling;105944;LS70813;ja;09.01.2026;Logistik;20255;rebike 1 GmbH;Rebike Mobility GmbH;Aidenbachstraße 54;81379;München;;;;
VST Schörling;105955;LS70824;ja;08.01.2026;Logistik;20656;Arqum Gesellschaft für Ar;Arqum Gesellschaft für Arbeitssicherheits-, Q;Leonrodstraße 54;80636;München;;;;
AMW Auersperg;105968;LS70837;ja;28.01.2026;Logistik;21288;gkv;gkv Informatik;Skandinaviendamm 360;24109;Kiel;;;;
Planegg;105993;LS70862;nein;02.02.2026;Logistik;22161;Space 44;SPACE 44 GmbH;Paradiesstraße 9;80538;München;;;;
Planegg;105994;LS70863;nein;07.03.2026;Logistik;22144;Isartax vorm.Aulinger;Isartax GmbH;Landsberger Str.155, Haus 4;80687;München;;;;
Planegg;105999;LS70866;nein;02.02.2026;Logistik;22161;Space 44;SPACE 44 GmbH;Paradiesstraße 9;80538;München;;;;
VST Schörling;106002;LS70869;nein;01.01.2026;Logistik;22424;Agentur für Arbeit Pfarrkirche;Bundesagentur für Arbeit;Max-Breiherr-Str. 3;84347;Pfarrkirchen;;;;
AQUATRADE Glinde;106015;LS70882;nein;07.01.2026;Logistik;22494;OD Solutions;OD Solutions GmbH;Mittelweg 161;20148;Hamburg;;;;
Gleisner;106024;LS70891;ja;11.03.2026;Logistik;22600;Konzept Weiss Nürnberg;Konzept Weiss L&T Bleachingstores UG;Brunnengasse 42;90402;Nürnberg;;;;
VST Schörling;106069;LS70935;ja;01.01.2026;Logistik;23185;Bayern Card-Services GmbH;qards GmbH;Georg-Brauchle-Ring 23-25;80992;München;;;;
VST Schörling;106071;LS70937;ja;01.01.2026;Logistik;23185;Bayern Card-Services GmbH;qards GmbH;Georg-Brauchle-Ring 23-25;80992;München;;;;
VST Schörling;106074;LS70940;ja;01.01.2026;Logistik;23185;Bayern Card-Services GmbH;qards GmbH;Georg-Brauchle-Ring 23-25;80992;München;;;;
VST Schörling;106077;LS70943;ja;08.01.2026;Logistik;20745;Sabhan Call Shop;Sabhan Call Shop;Arnulfstraße 16-18;80335;München;;;;
Planegg;106104;LS70969;ja;18.02.2026;Logistik;24009;Bayer.Staatsministerium d.Inne;Bayer.Staatsmini.d.Innern, Sport+Integration;Odeonsplatz 3;80539;München;;;;
Planegg;106105;LS70970;ja;18.02.2026;Logistik;24009;Bayer.Staatsministerium d.Inne;Bayer.Staatsmini.d.Innern, Sport+Integration;Odeonsplatz 3;80539;München;;;;
Planegg;106106;LS70971;ja;18.02.2026;Logistik;24009;Bayer.Staatsministerium d.Inne;Bayer.Staatsmini.d.Innern, Sport+Integration;Odeonsplatz 3;80539;München;;;;
Planegg;106107;LS70972;ja;18.02.2026;Logistik;24009;Bayer.Staatsministerium d.Inne;Bayer.Staatsmini.d.Innern, Sport+Integration;Odeonsplatz 3;80539;München;;;;
Schöttle - Haiterbach;106138;LS71003;nein;01.01.2026;Logistik;23965;Giorgio Armani Metzingen;Armani Outlet Metzingen;Reutlingerstr. 69;72555;Metzingen;;;;
VST Schörling;106154;LS71019;ja;16.01.2026;Logistik;24785;Bayerischer Oberster Rechnungs;Bayerischer Oberster Rechnungshof;Kaulbachstr. 9;80539;München;;;;
Planegg;106157;LS71022;nein;01.03.2026;Logistik;24775;Packline / vorm.Shevchenko;PackLine GmbH;Benzstraße 2;85551;Kirchheim;;;;
CJM;106161;LS71026;ja;15.01.2026;Logistik;24817;Kopf der Sache;Kopf der Sache GmbH;Karl-Liebknecht-Straße 127-129;15711;Königs Wusterhausen;;;;
Planegg;106191;LS71056;ja;02.02.2026;Logistik;25300;Skytanking Munich;Skytanking Munich GmbH & Co. KG;Wartungsallee 19;85356;München - Flughafen;;;;
Planegg;106192;LS71057;ja;02.02.2026;Logistik;25300;Skytanking Munich;Skytanking Munich GmbH & Co. KG;Nordallee 4;85356;München - Flughafen;;;;
Planegg;106201;LS71066;nein;07.01.2026;Logistik;25338;GoPro;GoPro GmbH;Baierbrunner Str. 15,  Geb.D;81379;München;;;;
VST Schörling;106205;LS71070;ja;16.01.2026;Logistik;25429;BLACHNIK GmbH & Co. KG;Gabriele Blachnik GmbH & Co.KG;Marstallstraße 8;80539;München;;;;
